		清单数据仅供参考，最终的话费总额请以账单为准
序号	通话地	通话类型	对方号码	开始时间	通话时长	移动话费	长途话费
1	揭阳	被叫	666262	2013-10-01 00:37:41	0:0:28	0.00	0.00
2	揭阳	被叫	665990	2013-10-01 08:35:08	0:20:46	0.00	0.00
3	揭阳	被叫	665990	2013-10-01 09:08:50	0:0:20	0.00	0.00
4	揭阳	被叫	06638721610	2013-10-01 10:54:34	0:0:14	0.00	0.00
5	揭阳	省内10元短号网套餐	980	2013-10-01 11:20:32	0:0:0	10.00	0.00
6	揭阳	被叫	665423	2013-10-01 11:59:38	0:2:59	0.00	0.00
7	揭阳	被叫	665423	2013-10-02 10:29:52	0:0:23	0.00	0.00
8	揭阳	主叫	666262	2013-10-02 13:23:30	0:0:16	0.00	0.00
9	揭阳	被叫	665990	2013-10-02 14:34:02	0:1:46	0.00	0.00
10	揭阳	主叫	15815144422	2013-10-02 17:40:01	0:3:38	0.00	1.96
11	揭阳	中国移动ip	1795115815144422	2013-10-02 17:47:18	0:1:19	0.32	0.18
12	揭阳	被叫	665990	2013-10-02 20:49:32	0:4:11	0.00	0.00
13	揭阳	主叫	665423	2013-10-02 21:47:34	0:1:13	0.00	0.00
14	揭阳	主叫	665990	2013-10-02 21:55:40	0:1:20	0.00	0.00
15	揭阳	被叫	15815144422	2013-10-03 10:58:09	0:0:20	0.00	0.00
16	揭阳	被叫	665423	2013-10-03 11:50:39	0:0:58	0.00	0.00
17	揭阳	被叫	15815144422	2013-10-03 12:20:37	0:2:12	0.00	0.00
18	揭阳	被叫	666262	2013-10-03 13:56:58	0:0:25	0.00	0.00
19	揭阳	被叫	665423	2013-10-03 16:12:25	0:1:28	0.00	0.00
20	揭阳	主叫	15815144422	2013-10-03 16:49:10	0:1:42	0.00	0.98
21	揭阳	被叫	18125197005	2013-10-03 18:58:57	0:0:16	0.00	0.00
22	揭阳	中国移动ip	1795115815144422	2013-10-03 19:12:23	0:0:38	0.16	0.15
23	揭阳	被叫	18125197005	2013-10-03 21:02:15	0:0:51	0.00	0.00
24	揭阳	被叫	18927056610	2013-10-03 21:43:59	0:1:3	0.00	0.00
25	揭阳	被叫	18125197005	2013-10-03 22:06:10	0:1:19	0.00	0.00
26	揭阳	被叫	18125197005	2013-10-03 23:12:20	0:0:42	0.00	0.00
27	揭阳	被叫	18125197005	2013-10-03 23:40:12	0:2:41	0.00	0.00
28	揭阳	被叫	665990	2013-10-04 09:26:36	0:4:5	0.00	0.00
29	揭阳	中国移动ip	1795113556353923	2013-10-04 11:02:42	0:0:33	0.08	0.09
30	揭阳	中国移动ip	1795115815144422	2013-10-04 11:59:10	0:0:27	0.08	0.09
31	揭阳	主叫	665990	2013-10-04 12:00:04	0:0:37	0.00	0.00
32	揭阳	被叫	13322764666	2013-10-04 12:57:37	0:0:26	0.00	0.00
33	揭阳	主叫	13687484000	2013-10-04 15:02:54	0:1:17	0.32	0.00
34	揭阳	主叫	665990	2013-10-04 15:04:42	0:11:6	0.00	0.00
35	揭阳	主叫	665990	2013-10-04 16:36:17	0:0:23	0.00	0.00
36	揭阳	主叫	665990	2013-10-04 16:44:59	0:0:33	0.00	0.00
37	揭阳	被叫	18125197005	2013-10-04 21:14:24	0:4:3	0.00	0.00
38	揭阳	被叫	18125197005	2013-10-04 22:50:41	0:1:34	0.00	0.00
39	揭阳	中国移动ip	1795115815144422	2013-10-04 22:53:53	0:4:53	0.80	0.45
40	揭阳	被叫	666262	2013-10-05 11:50:35	0:0:17	0.00	0.00
41	揭阳	中国移动ip	1795115815144422	2013-10-05 13:03:08	0:0:3	0.00	0.00
42	揭阳	中国移动ip	1795115815144422	2013-10-05 13:03:43	0:2:9	0.48	0.27
43	揭阳	主叫	666262	2013-10-05 13:06:51	0:0:7	0.00	0.00
44	揭阳	主叫	663310	2013-10-05 13:24:22	0:2:22	0.00	0.00
45	揭阳	主叫	663310	2013-10-05 13:36:56	0:1:41	0.00	0.00
46	揭阳	被叫	02151168688	2013-10-05 13:57:00	0:0:27	0.00	0.00
47	揭阳	主叫	15815144422	2013-10-05 15:34:29	0:2:0	0.00	0.98
48	揭阳	被叫	15815144422	2013-10-05 16:43:25	0:0:23	0.00	0.00
49	揭阳	主叫	665423	2013-10-05 19:07:06	0:3:31	0.00	0.00
50	揭阳	被叫	15815144422	2013-10-05 19:24:35	0:0:29	0.00	0.00
51	揭阳	被叫	15815144422	2013-10-05 19:36:04	0:2:27	0.00	0.00
52	揭阳	主叫	15815144422	2013-10-05 19:50:23	0:0:25	0.00	0.49
